Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS
12.1042,79.7417,2021,8.15,818,0,329,89,35,7,325,66,39,46,2,0,0.44,490.8
12.0917,79.9,2021,7.86,1878,0,207,341,274,2,220,28,36,317,26,0.19,0.21,1126.8
12.2083,79.9583,2021,6.19,643,0,250,57,23,0,200,72,5,46,8,0,0.4,385.8
9.44,77.5369,2021,7.5,2860,0,329,709,120,36,820,128,122,329,23,0.8,4.47,1716
9.3833,77.4656,2021,7.6,2320,0,598,255,101,168,580,56,107,204,57,0.92,2.85,1392
9.6042,77.7486,2021,8.1,1026,0,598,28,119,10,250,40,36,172,2,1.15,4.66,615.6
9.5667,78.075,2021,7.7,2450,0,378,560,245,80,990,156,146,252,7,0.51,6.38,1470
9.5542,78.0083,2021,7.4,1000,0,415,78,80,25,330,76,34,70,19,0.34,0.8,600
9.4914,77.9336,2021,8.2,1185,0,390,57,113,10,260,64,24,112,3,1.8,8.63,711
9.5583,77.9583,2021,7.7,940,0,281,128,112,54,390,72,51,103,12,0.67,1.35,564
9.5111,78.1972,2021,7.9,2090,0,781,177,63,34,370,68,49,240,28,1.88,3.58,1254
9.5108,77.755,2021,7.7,2620,0,464,291,333,34,600,76,100,250,5,1.76,11.54,1572
