State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
Tamilnadu,Kancheepuram,12.87,80.25,2019,7.2,580,0,176.929,78.1,46.5,10.5,180,36,21.8916,54.2,4.23223,0.1,348
Tamilnadu,Kancheepuram,12.63,80.19,2019,7,450,0,91.515,71,18,28,100,24,9.7296,63.2,2.92225,0.1,270
Tamilnadu,Kancheepuram,12.52,80.15,2019,7.2,1006,0,292.848,142,50.5,56.5,210,56,17.0268,133.4,10.8829,0.1,603.6
Tamilnadu,Kancheepuram,12.61,79.67,2019,7.8,830,0,305.05,113.6,22.5,4.2,210,40,26.7564,90,36.4777,0.1,498
Tamilnadu,Kancheepuram,12.81,80.19,2019,7.6,1338,0,390.464,234.3,68,3,390,64,55.9452,148.5,2.82148,0.4,802.8
Tamilnadu,Kancheepuram,12.73,80.19,2019,7.4,1628,0,353.858,248.5,99.5,73,400,68,55.9452,187.8,5.34066,0.5,976.8
Tamilnadu,Kancheepuram,12.86,80.23,2019,6.8,732,0,48.808,102.95,93,60.5,160,40,14.5944,64.3,32.5478,0.1,439.2
Tamilnadu,Tiruvallur,13.06,80.06,2019,7.3,1020,0,305.05,113.6,85,6,260,68,21.8916,114.9,2.21688,0.3,612
Tamilnadu,Tiruvallur,13.06,79.86,2019,7.1,710,0,164.727,110.05,72,8.9,220,40,29.1888,74.2,3.32532,0.1,426
Tamilnadu,Tiruvallur,13.07,79.97,2019,7.2,3080,0,390.464,582.2,332.5,10.8,860,160,111.89,295.4,4.03069,1.1,1848
Tamilnadu,Tiruvallur,13.14,79.91,2019,7.5,2960,0,512.484,596.4,223,2.8,700,168,68.1072,354.3,4.83683,1.3,1776
Tamilnadu,Tiruvallur,13.13,79.77,2019,7.6,1620,0,451.474,205.9,95,121,420,76,55.9452,189.2,4.83683,0.3,972
Tamilnadu,Tiruvallur,13.18,79.61,2019,7.5,1628,0,463.676,248.5,88,13,570,96,80.2692,112,16.1228,1,976.8
Tamilnadu,Chennai,13.03,80.26,2019,7.9,3250,0,780.928,504.1,221,3.5,800,100,133.782,345.3,8.56522,1.3,1950
Tamilnadu,Chennai,13.11,80.25,2019,7.8,5480,0,652.807,1420,206,53,590,96,85.134,969.8,19.6496,0.5,3288
Tamilnadu,Tiruvallur,13.2,80.15,2019,7.4,2370,0,317.252,418.9,169,258.4,560,92,80.2692,267.6,39.8031,0.2,1422
Tamilnadu,Tiruvallur,13.26,80.29,2019,7.1,4010,0,317.252,1107.6,133,68.7,1080,236,119.188,399.7,32.044,0.8,2406
Tamilnadu,Tiruvallur,13.27,80.26,2019,7.5,2030,0,311.151,447.3,81,52.4,720,212,46.2156,115.3,20.5565,0.7,1218
Tamilnadu,Tiruvallur,13.33,80.2,2019,7.8,1074,0,305.05,134.9,49.5,60.2,220,64,14.5944,137.3,11.5882,0.4,644.4
Tamilnadu,Tiruvallur,13.34,80.19,2019,7.2,862,0,231.838,142,35.5,40.2,310,96,17.0268,58.7,8.76675,0.4,517.2
Tamilnadu,Chennai,13.12,80.26,2019,7.8,1512,0,488.08,170.4,68,54.5,100,28,7.2972,183,185.714,1,907.2
Tamilnadu,Chennai,13.02,80.27,2019,7.4,966,0,286.747,106.5,75.5,51,330,108,14.5944,64.2,17.8358,0.8,579.6
Tamilnadu,Tiruvallur,13.32,79.96,2019,7.2,1084,0,286.747,149.1,57.5,40.1,265,34,43.7832,112.3,8.46445,0.7,650.4
Tamilnadu,Tiruvallur,13.33,80.08,2019,7.3,1061,0,292.848,134.9,68,50.8,205,32,30.405,143.9,6.4491,0.7,636.6
Tamilnadu,Tiruvallur,13.4,80.13,2019,7.3,1436,0,323.353,284,57.5,64.2,480,140,31.6212,103.7,41.7176,0.6,861.6
Tamilnadu,Tiruvallur,13.12,80.06,2019,7.4,2320,0,286.747,411.8,306,57.2,500,88,68.1072,280.9,11.5882,0.8,1392
Tamilnadu,Tiruvallur,13.07,80.14,2019,7.5,1558,0,305,263,144,56,350,80,36,191,3,0.5,934.8
Tamilnadu,Chennai,13.08,80.27,2019,7.7,4560,0,750,639,565,245,150,28,19,970,19,1.2,2736
Tamilnadu,Tiruvallur,13.14,80.1,2019,7.4,2670,0,311,476,302,108,600,104,83,295,34,0.7,1602
Tamilnadu,Chennai,13.08,80.2,2019,7.4,2190,0,238,490,103,54,430,84,54,256,8,0.7,1314
Tamilnadu,Villupuram,12.8347,79.6722,2019,7.4,1187,0,573,135,61,3,515,140,40,71,4.2,0,712.2
Tamilnadu,Villupuram,12.25,79.3317,2019,7.11,362,0,207,21,5.5,1.2,165,56,6.1,10,7.3,0.02,217.2
