State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
Tamilnadu,Sivaganga,9.8569,78.4833,2019,7.5,2270,0,281.0,498.0,9.8,72.0,680,132.0,85.0,189.0,3.2,0.26,1362.0,2
Tamilnadu,Sivaganga,9.8514,78.375,2019,7.94,2130,0,671.0,412.0,45.0,3.8,330,32.0,61.0,372.0,5.7,0.69,1278.0,1
Tamilnadu,Sivaganga,10.1042,78.8444,2019,7.83,826,0,311.0,114.0,1.8,10.0,325,86.0,27.0,51.0,22.0,0.53,495.6,1
Tamilnadu,Sivaganga,9.9542,78.4861,2019,7.6,1938,0,98.0,490.0,126.0,18.0,410,132.0,20.0,206.0,24.0,0.34,1162.8,1
Tamilnadu,Sivaganga,10.1083,78.6,2019,7.59,1205,0,220.0,256.0,22.0,32.0,480,108.0,51.0,54.0,4.8,0.26,723.0,1
Tamilnadu,Sivaganga,10.1583,78.575,2019,8.14,3380,0,793.0,555.0,78.0,8.0,280,24.0,54.0,530.0,3.0,0.83,2028.0,2
Tamilnadu,Kancheepuram,12.97,80.15,2019,7.2,1668,0,353.858,262.7,91.5,112.8,570,68.0,97.296,129.2,0.90691,0.8,1000.8,2
Tamilnadu,Kancheepuram,12.95,80.14,2019,7.6,2520,0,805.332,369.2,22.0,20.3,720,128.0,97.296,218.9,3.62762,0.8,1512.0,2
Tamilnadu,Kancheepuram,12.94,80.14,2019,7.2,432,0,146.424,63.9,15.5,24.0,180,44.0,17.0268,20.1,0.90691,0.2,259.2,0
Tamilnadu,Kancheepuram,12.92,80.11,2019,7.5,3270,0,732.12,582.2,121.5,33.6,660,64.0,121.62,413.0,6.75141,1.3,1962.0,2
Tamilnadu,Kancheepuram,12.93,80.04,2019,7.7,2690,0,817.534,312.4,103.0,144.2,360,68.0,46.2156,364.2,155.685,1.4,1614.0,2
Tamilnadu,Kancheepuram,12.89,80.07,2019,7.3,1933,0,561.292,305.3,48.5,46.6,580,104.0,77.8368,175.8,7.15448,0.1,1159.8,1
Tamilnadu,Kancheepuram,12.91,80.01,2019,7.5,1790,0,451.474,312.4,38.5,94.7,700,112.0,102.161,92.4,2.21688,0.1,1074.0,2
Tamilnadu,Kancheepuram,12.87,80.11,2019,7.3,2200,0,451.474,326.6,133.5,129.8,620,100.0,89.9988,201.4,1.30997,0.3,1320.0,2
Tamilnadu,Kancheepuram,12.86,80.17,2019,7.5,1236,0,329.454,205.9,54.5,14.1,300,64.0,34.0536,146.7,1.30997,0.2,741.6,1
Tamilnadu,Kancheepuram,12.9,80.17,2019,7.5,1439,0,402.666,241.4,33.5,22.6,460,80.0,63.2424,127.3,1.30997,0.8,863.4,1
